housing_median_age,population,median_income,median_house_value,ocean_proximity,rooms_per_household,population_per_household,bedrooms_per_room
11.0,410.0,4.825,184600.0,INLAND,6.4113924050632916,2.5949367088607596,0.1855873642645607
12.0,1043.0,1.4038,54300.0,INLAND,3.8353909465020575,4.292181069958848,0.26180257510729615
41.0,934.0,2.6339,145700.0,<1H OCEAN,3.7753303964757707,4.11453744493392,0.23453908984830804
43.0,1041.0,2.89,86200.0,INLAND,5.221238938053097,2.3030973451327434,0.19957627118644067
15.0,1949.0,4.7083,213300.0,INLAND,7.918057663125948,2.9575113808801214,0.1362591031046378
6.0,75.0,4.125,216700.0,INLAND,7.214285714285714,2.6785714285714284,0.14356435643564355
9.0,1129.0,5.143,176500.0,INLAND,6.139896373056994,2.9248704663212437,0.17890295358649788
33.0,1734.0,1.625,50300.0,INLAND,4.491071428571429,5.160714285714286,0.2332670642809808
24.0,1586.0,3.8571,90100.0,INLAND,5.08254397834912,2.1461434370771313,0.18130990415335463
25.0,2719.0,2.6981,208000.0,<1H OCEAN,3.9463307776560788,2.978094194961665,0.2783791285040244
42.0,611.0,5.3074,401900.0,NEAR OCEAN,5.359504132231405,2.524793388429752,0.18966846569005397
50.0,1777.0,2.7679,178800.0,<1H OCEAN,5.025821596244131,4.171361502347418,0.21064922933208782
44.0,1373.0,2.9054,155200.0,NEAR BAY,5.206185567010309,2.359106529209622,0.19438943894389438
43.0,930.0,4.6369,186400.0,<1H OCEAN,4.413394919168591,2.147806004618938,0.22972265829408686
52.0,362.0,4.0208,262500.0,<1H OCEAN,5.395833333333333,2.513888888888889,0.19047619047619047
21.0,1203.0,3.2083,145300.0,<1H OCEAN,4.1502732240437155,3.2868852459016393,0.2554312047399605
18.0,1777.0,6.0653,105300.0,INLAND,6.556732223903177,2.6883509833585477,0.14790032302722658
35.0,635.0,3.6053,345800.0,<1H OCEAN,4.510135135135135,2.14527027027027,0.22172284644194756
29.0,1360.0,3.4773,206700.0,<1H OCEAN,5.473815461346633,3.3915211970074814,0.18861047835990888
34.0,613.0,8.2883,500001.0,NEAR OCEAN,6.618834080717488,2.7488789237668163,0.1470189701897019
31.0,1915.0,4.1364,412000.0,NEAR OCEAN,5.414932680538556,2.343941248470012,0.18851717902350815
13.0,2094.0,4.3621,173400.0,<1H OCEAN,4.752830188679245,3.950943396226415,0.23064708217546645
38.0,755.0,2.8352,408300.0,NEAR OCEAN,6.385964912280702,1.8922305764411027,0.25353218210361067
52.0,1138.0,4.0234,266500.0,NEAR BAY,4.9605263157894735,3.7434210526315788,0.1843501326259947
33.0,1882.0,2.4071,170500.0,<1H OCEAN,4.374712643678161,4.326436781609195,0.2464529689963216
52.0,1558.0,2.944,338900.0,NEAR BAY,4.1239092495637,2.719022687609075,0.2556072788827761
22.0,1849.0,4.1837,125400.0,NEAR OCEAN,5.670781893004115,3.8045267489711936,0.18722786647314948
41.0,1408.0,1.65,94200.0,<1H OCEAN,3.8817480719794344,3.619537275064267,0.271523178807947
49.0,737.0,3.7222,237000.0,INLAND,5.846689895470384,2.56794425087108,0.16507747318235996
5.0,3237.0,2.2339,116600.0,INLAND,4.291297935103245,2.3871681415929205,0.2589792060491493
11.0,1360.0,4.277,98500.0,INLAND,6.055421686746988,3.2771084337349397,0.1623557500994827
26.0,1806.0,4.2647,133400.0,INLAND,5.943462897526501,3.1908127208480566,0.1694411414982164
31.0,1796.0,1.5479,82000.0,INLAND,4.14785373608903,2.8553259141494434,0.2472211575316213
25.0,789.0,1.5625,52800.0,INLAND,5.60655737704918,4.311475409836065,0.21539961013645223
26.0,3163.0,1.9495,173200.0,<1H OCEAN,3.2094763092269325,3.9438902743142146,0.3135198135198135
11.0,2336.0,2.6842,89100.0,INLAND,5.746730083234245,2.7776456599286563,0.19532381543554728
26.0,1861.0,3.4047,294500.0,NEAR OCEAN,4.481052631578947,1.9589473684210525,0.24218933521259103
22.0,1842.0,4.4107,232700.0,<1H OCEAN,4.1257861635220126,2.3169811320754716,0.2844512195121951
25.0,1462.0,6.1815,288500.0,<1H OCEAN,6.519114688128773,2.941649899396378,0.14845679012345678
26.0,1241.0,6.8753,403000.0,<1H OCEAN,6.987288135593221,2.6292372881355934,0.13947847180109157
52.0,1551.0,3.6912,261100.0,NEAR BAY,4.970588235294118,2.172268907563025,0.1992110453648915
34.0,1080.0,3.66,184600.0,<1H OCEAN,4.670588235294118,3.176470588235294,0.22670025188916876
40.0,662.0,0.9234,187500.0,<1H OCEAN,2.7365853658536587,3.229268292682927,0.5062388591800356
12.0,1605.0,6.0102,396900.0,<1H OCEAN,5.219765929778934,2.0871261378413526,0.216243148978575
18.0,1321.0,5.3077,351400.0,<1H OCEAN,6.065767284991568,2.2276559865092747,0.1845982763413956
16.0,816.0,1.319,70700.0,<1H OCEAN,6.404907975460123,2.503067484662577,0.25622605363984674
3.0,3068.0,6.1395,358000.0,<1H OCEAN,5.72522159548751,2.4721998388396456,0.20534834623504575
41.0,844.0,2.6923,84200.0,<1H OCEAN,5.116071428571429,2.511904761904762,0.2164048865619546
17.0,1158.0,8.2069,442500.0,<1H OCEAN,7.203571428571428,2.067857142857143,0.15146256817055032
27.0,1307.0,3.0911,86900.0,INLAND,5.5285087719298245,2.866228070175439,0.19198730662435542
43.0,1065.0,3.2708,131000.0,<1H OCEAN,5.330409356725146,3.1140350877192984,0.1963795940756994
33.0,1764.0,3.875,165100.0,NEAR OCEAN,4.509090909090909,4.009090909090909,0.2404233870967742
15.0,2957.0,4.45,184900.0,NEAR BAY,5.047218628719276,1.9126778783958602,0.20543380750993206
35.0,1494.0,1.6645,93300.0,INLAND,4.144230769230769,4.788461538461538,0.26218097447795824
9.0,1992.0,2.066,127200.0,<1H OCEAN,4.291390728476821,4.397350993377484,0.25102880658436216
52.0,875.0,4.325,292600.0,<1H OCEAN,5.569131832797428,2.8135048231511255,0.17609699769053117
11.0,2538.0,4.221,227100.0,<1H OCEAN,6.640410958904109,2.8972602739726026,0.15093690905965274
52.0,1146.0,1.4034,90300.0,INLAND,3.5671641791044775,1.900497512437811,0.3086936308693631
30.0,1098.0,5.3972,362300.0,NEAR OCEAN,6.416666666666667,2.6142857142857143,0.15732838589981446
52.0,819.0,4.9083,346800.0,NEAR BAY,6.749253731343283,2.444776119402985,0.1450685537372844
42.0,220.0,4.5625,318800.0,<1H OCEAN,6.962962962962963,2.7160493827160495,0.1702127659574468
21.0,2216.0,5.7072,242200.0,NEAR BAY,6.284875183553598,3.2540381791483113,0.1572429906542056
31.0,781.0,1.6563,65800.0,INLAND,3.814946619217082,2.7793594306049823,0.19092039800995023
17.0,1176.0,5.133,324000.0,<1H OCEAN,6.334500875656743,2.0595446584938704,0.16505391208183579
9.0,1074.0,5.0198,151900.0,INLAND,6.696378830083566,2.9916434540389973,0.1622296173044925
35.0,1460.0,2.6713,84400.0,INLAND,5.770588235294118,2.8627450980392157,0.18824328916072036
6.0,1547.0,4.5481,164800.0,NEAR OCEAN,4.7254901960784315,1.8958333333333333,0.22691908713692946
13.0,552.0,4.5903,94300.0,INLAND,6.759358288770054,2.9518716577540105,0.15981012658227847
31.0,1532.0,3.7303,223800.0,<1H OCEAN,4.840175953079179,2.2463343108504397,0.21569221448046047
5.0,376.0,4.3523,188200.0,INLAND,6.425531914893617,2.6666666666666665,0.15894039735099338
41.0,1143.0,3.0352,69800.0,INLAND,5.400900900900901,2.574324324324324,0.18682235195996663
16.0,1749.0,4.9716,162500.0,INLAND,14.851851851851851,3.238888888888889,0.17855361596009975
15.0,2222.0,6.7606,364300.0,NEAR OCEAN,6.426356589147287,2.8708010335917313,0.15359871330920788
14.0,2070.0,3.1523,141800.0,INLAND,5.226685796269727,2.96987087517934,0.193796321712874
33.0,1339.0,5.3016,192200.0,<1H OCEAN,6.123393316195373,3.442159383033419,0.16960537363560033
12.0,765.0,6.0532,102800.0,INLAND,5.97153024911032,2.7224199288256226,0.1436233611442193
35.0,743.0,5.7654,343000.0,<1H OCEAN,5.755474452554744,2.7116788321167884,0.17691819911223844
40.0,2024.0,2.1139,70900.0,INLAND,4.34319526627219,2.9940828402366866,0.24931880108991825
52.0,591.0,1.7778,76900.0,NEAR OCEAN,4.450704225352113,2.0809859154929575,0.21914556962025317
25.0,1244.0,4.5313,308400.0,NEAR BAY,6.795031055900621,2.5755693581780537,0.1724558196221816
39.0,553.0,7.8496,490800.0,<1H OCEAN,6.528888888888889,2.457777777777778,0.15384615384615385
31.0,1259.0,2.2478,81100.0,NEAR OCEAN,5.123809523809523,2.9976190476190476,0.21468401486988847
18.0,855.0,3.6923,213200.0,NEAR BAY,3.652037617554859,2.6802507836990594,0.28583690987124466
23.0,1333.0,1.3187,127100.0,<1H OCEAN,4.717451523545706,3.6925207756232687,0.23311802701115678
20.0,421.0,2.0833,77300.0,INLAND,4.311258278145695,2.7880794701986753,0.2411674347158218
38.0,823.0,6.1089,280800.0,NEAR BAY,6.8,2.887719298245614,0.15531475748194015
26.0,990.0,4.8862,195000.0,<1H OCEAN,4.425396825396826,3.142857142857143,0.17073170731707318
52.0,1447.0,3.3555,275000.0,NEAR BAY,3.9615384615384617,2.65018315018315,0.2806287563569117
22.0,2381.0,0.7473,168800.0,<1H OCEAN,3.116650987770461,2.239887111947319,0.37277392091759737
17.0,2095.0,7.6709,319500.0,<1H OCEAN,7.691379310344828,3.6120689655172415,0.13113651647612642
16.0,1777.0,3.0,122600.0,INLAND,6.110569105691057,2.8894308943089433,0.19026077700904737
9.0,1111.0,5.5342,182300.0,<1H OCEAN,4.61070110701107,2.0498154981549814,0.19687875150060025
18.0,1086.0,3.3672,133600.0,INLAND,10.386666666666667,2.896,0.1733846812152332
16.0,737.0,2.8942,182500.0,INLAND,6.160493827160494,3.0329218106995883,0.18370073480293922
16.0,656.0,6.3017,350000.0,<1H OCEAN,5.704491725768322,1.5508274231678487,0.23166183174471613
31.0,1198.0,2.1333,160200.0,<1H OCEAN,3.9306569343065694,4.372262773722627,0.2785515320334262
43.0,1184.0,2.1518,161600.0,<1H OCEAN,3.728125,3.7,0.250628667225482
20.0,3094.0,8.19,361600.0,<1H OCEAN,8.240170031880977,3.287991498405951,0.1258705184420944
34.0,900.0,3.1458,178300.0,NEAR OCEAN,5.776595744680851,3.1914893617021276,0.19521178637200737
43.0,1674.0,3.6719,161300.0,<1H OCEAN,4.482084690553746,2.726384364820847,0.234375
46.0,1423.0,2.1955,26900.0,INLAND,5.695020746887967,2.9522821576763487,0.19781420765027322
26.0,2059.0,3.6765,163600.0,<1H OCEAN,4.649038461538462,4.949519230769231,0.2109617373319545
25.0,1149.0,5.0698,150900.0,INLAND,6.61,2.298,0.16671709531013615
51.0,1083.0,1.577,51900.0,INLAND,4.813765182186235,2.1923076923076925,0.24558452481076534
47.0,1228.0,3.0625,141500.0,INLAND,5.470113085621971,1.9838449111470113,0.19580626107501475
34.0,971.0,2.0583,64800.0,INLAND,4.526104417670683,3.8995983935742973,0.2440106477373558
52.0,1045.0,4.5523,500001.0,NEAR BAY,5.253225806451613,1.685483870967742,0.22566779244703716
31.0,1626.0,3.6745,335500.0,<1H OCEAN,4.532182103610675,2.5525902668759812,0.22376169033598892
20.0,658.0,7.9977,400000.0,NEAR BAY,7.169960474308301,2.600790513833992,0.15545755237045203
52.0,722.0,3.3348,122800.0,INLAND,4.929133858267717,1.89501312335958,0.20926517571884984
23.0,1168.0,2.2794,75700.0,INLAND,5.763414634146342,2.848780487804878,0.1900126957257723
33.0,91.0,4.9167,187500.0,NEAR BAY,6.454545454545454,2.757575757575758,0.16901408450704225
17.0,2016.0,2.2969,89300.0,INLAND,4.930163447251115,2.9955423476968797,0.22875226039783003
22.0,2453.0,3.1312,91000.0,INLAND,4.575320512820513,3.9310897435897436,0.23362521891418564
16.0,794.0,2.6929,119300.0,INLAND,4.942973523421589,1.6171079429735233,0.21508034610630408
26.0,771.0,5.7239,430600.0,INLAND,6.401433691756273,2.763440860215054,0.1713325867861142
41.0,1666.0,3.6845,175800.0,<1H OCEAN,3.823293172690763,3.3453815261044175,0.2699579831932773
23.0,265.0,3.125,375000.0,<1H OCEAN,5.545454545454546,4.015151515151516,0.16939890710382513
26.0,1825.0,5.6385,196900.0,<1H OCEAN,6.4914529914529915,3.8995726495726495,0.15404871626069783
14.0,660.0,3.0804,156800.0,INLAND,6.162280701754386,2.8947368421052633,0.1914590747330961
4.0,6.0,2.375,137500.0,INLAND,1.0,3.0,1.0
33.0,2013.0,1.9818,208300.0,<1H OCEAN,2.3061889250814334,3.278501628664495,0.4844632768361582
32.0,778.0,4.5278,166300.0,<1H OCEAN,6.133587786259542,2.969465648854962,0.15743621655258244
23.0,2091.0,1.3713,51800.0,INLAND,4.329938900203666,4.258655804480652,0.23800564440263405
32.0,2615.0,6.6188,380000.0,NEAR OCEAN,6.567368421052632,2.7526315789473683,0.1561147619810867
12.0,3215.0,2.8681,114200.0,<1H OCEAN,4.27751756440281,3.7646370023419204,0.2718313714754996
26.0,5.0,0.536,275000.0,INLAND,6.0,1.6666666666666667,0.16666666666666666
52.0,802.0,0.9566,69000.0,INLAND,4.260233918128655,2.345029239766082,0.2669869595058339
48.0,935.0,1.4375,90000.0,NEAR BAY,5.017191977077364,2.679083094555874,0.22272986864648772
25.0,1054.0,3.6375,262500.0,<1H OCEAN,4.2387543252595155,1.8235294117647058,0.2522448979591837
40.0,666.0,6.0876,483800.0,<1H OCEAN,5.504201680672269,1.865546218487395,0.1801526717557252
34.0,1226.0,4.601,150000.0,INLAND,6.3203285420944555,2.517453798767967,0.15497076023391812
29.0,787.0,3.7414,98500.0,INLAND,6.631067961165049,2.546925566343042,0.16105417276720352
28.0,2406.0,1.5208,69500.0,INLAND,4.425954198473282,3.6732824427480915,0.26043463263194205
6.0,1554.0,6.8333,348000.0,<1H OCEAN,7.009487666034156,2.9487666034155597,0.15538711423930698
21.0,1040.0,5.2887,264500.0,<1H OCEAN,6.4,3.2,0.16923076923076924
42.0,548.0,3.7543,126600.0,<1H OCEAN,4.184873949579832,4.605042016806722,0.24096385542168675
17.0,248.0,5.5762,150000.0,INLAND,10.359649122807017,2.175438596491228,0.22946655376799321
39.0,2031.0,1.8641,50800.0,INLAND,4.547861507128309,4.136456211812627,0.25212718316166594
7.0,482.0,5.0622,174100.0,INLAND,16.42138364779874,3.0314465408805034,0.15128303332056683
17.0,948.0,2.7639,90200.0,NEAR OCEAN,4.652661064425771,2.6554621848739495,0.19807344972907887
16.0,2261.0,3.3261,118400.0,INLAND,4.699687174139729,2.3576642335766422,0.23274905702240958
48.0,1773.0,3.9565,268500.0,NEAR BAY,4.953703703703703,3.283333333333333,0.21869158878504674
19.0,414.0,1.3333,310000.0,<1H OCEAN,3.3161764705882355,1.5220588235294117,0.3148558758314856
34.0,498.0,6.3214,220800.0,<1H OCEAN,6.294871794871795,3.1923076923076925,0.15071283095723015
35.0,1483.0,3.0395,191300.0,<1H OCEAN,3.797909407665505,2.583623693379791,0.27477064220183484
10.0,1538.0,4.45,138700.0,INLAND,5.834752981260648,2.6201022146507666,0.18364963503649634
22.0,3335.0,3.1579,243100.0,<1H OCEAN,3.673186119873817,2.1041009463722395,0.29319821367227755
47.0,1903.0,1.9853,101100.0,<1H OCEAN,3.9927797833935017,3.435018050541516,0.24095840867992765
30.0,1290.0,3.4722,112500.0,<1H OCEAN,4.578804347826087,3.505434782608696,0.18694362017804153
28.0,1389.0,5.7385,240400.0,<1H OCEAN,5.538775510204082,2.8346938775510204,0.184966838614591
48.0,434.0,3.6111,450000.0,<1H OCEAN,3.836206896551724,1.8706896551724137,0.28651685393258425
37.0,836.0,4.375,218200.0,<1H OCEAN,5.24179104477612,2.4955223880597015,0.19646924829157175
51.0,488.0,2.1964,234400.0,NEAR OCEAN,4.052631578947368,2.1403508771929824,0.2510822510822511
16.0,932.0,2.5868,146900.0,INLAND,5.617414248021108,2.45910290237467,0.1972757162987318
36.0,1763.0,2.6364,150000.0,<1H OCEAN,4.02,5.037142857142857,0.2736318407960199
13.0,2474.0,2.8775,134100.0,<1H OCEAN,4.68586387434555,4.317626527050611,0.23128491620111732
36.0,829.0,3.3984,90000.0,NEAR OCEAN,5.739130434782608,2.2527173913043477,0.17708333333333334
20.0,1231.0,2.0288,350000.0,<1H OCEAN,4.567204301075269,1.6545698924731183,0.2268981753972925
44.0,947.0,5.0072,236200.0,NEAR OCEAN,5.914835164835165,2.6016483516483517,0.17417556897352532
43.0,1895.0,2.5029,159700.0,<1H OCEAN,3.922920892494929,3.843813387423935,0.2642192347466391
37.0,578.0,4.375,177600.0,<1H OCEAN,5.325714285714286,3.302857142857143,0.1834763948497854
39.0,1153.0,2.084,233300.0,NEAR OCEAN,3.6110183639398996,1.9248747913188649,0.30143319463707813
52.0,617.0,2.55,112900.0,<1H OCEAN,6.008771929824562,2.706140350877193,0.18832116788321168
14.0,382.0,3.7083,210000.0,NEAR OCEAN,6.304093567251462,2.2339181286549707,0.24211502782931354
42.0,1603.0,3.7422,292600.0,NEAR OCEAN,5.019077901430842,2.548489666136725,0.21412733607855558
39.0,1246.0,3.7857,245700.0,<1H OCEAN,5.6635071090047395,2.9526066350710902,0.18577405857740587
9.0,2283.0,3.6161,99100.0,INLAND,5.490079365079365,2.2648809523809526,0.21792555113841705
6.0,1225.0,6.3705,350000.0,INLAND,6.4594017094017095,2.6175213675213675,0.17135296063513067
35.0,1583.0,5.0659,238000.0,NEAR OCEAN,5.10615711252654,3.3609341825902335,0.1916839916839917
36.0,39.0,3.125,37500.0,INLAND,6.444444444444445,2.1666666666666665,0.1724137931034483
41.0,1859.0,2.978,306800.0,<1H OCEAN,4.01747572815534,1.8048543689320389,0.27307878202029967
52.0,1466.0,4.5913,500001.0,NEAR BAY,3.9833984375,1.431640625,0.27261583721500365
46.0,2121.0,2.2788,152900.0,<1H OCEAN,4.490054249547921,3.8354430379746836,0.23640757148610553
36.0,1225.0,2.56,273100.0,NEAR OCEAN,3.8562091503267975,2.6688453159041394,0.28192090395480224
37.0,1591.0,1.6563,57200.0,INLAND,4.2823315118397085,2.8979963570127505,0.23989791578051892
27.0,179.0,2.3333,87500.0,INLAND,4.766666666666667,1.988888888888889,0.23776223776223776
52.0,624.0,3.6729,137800.0,INLAND,5.077142857142857,1.782857142857143,0.20709060213843555
34.0,849.0,6.2884,414700.0,NEAR BAY,5.487394957983193,2.3781512605042017,0.17457886676875958
27.0,1480.0,3.9643,186000.0,NEAR OCEAN,4.42512077294686,3.57487922705314,0.22652838427947597
2.0,3481.0,6.1112,181000.0,INLAND,7.153277931671283,3.2142197599261313,0.1462501613527817
33.0,731.0,3.9464,230300.0,<1H OCEAN,5.507518796992481,2.7481203007518795,0.178839590443686
43.0,764.0,3.3214,162200.0,NEAR OCEAN,4.436274509803922,3.7450980392156863,0.21988950276243094
17.0,1126.0,3.5511,155900.0,INLAND,6.233870967741935,3.0268817204301075,0.18542475204829667
34.0,1464.0,4.4102,183200.0,<1H OCEAN,6.098630136986301,4.010958904109589,0.1711590296495957
16.0,889.0,4.6771,212000.0,INLAND,6.919732441471572,2.9732441471571907,0.15079748670855486
37.0,2021.0,2.9773,164600.0,<1H OCEAN,4.43125,4.210416666666666,0.25058768218147626
44.0,1439.0,4.3693,234000.0,INLAND,5.619718309859155,2.533450704225352,0.17700501253132833
51.0,608.0,2.1974,139300.0,NEAR BAY,4.23489932885906,2.040268456375839,0.24484944532488115
21.0,29.0,5.0,87500.0,NEAR OCEAN,3.0625,1.8125,0.2857142857142857
23.0,1255.0,2.5388,205000.0,<1H OCEAN,3.721448467966574,3.4958217270194987,0.2964071856287425
21.0,1428.0,2.6513,113300.0,INLAND,4.9800796812749,2.8446215139442232,0.1864
21.0,671.0,3.8424,155700.0,<1H OCEAN,5.851282051282051,3.4410256410256412,0.2252410166520596
31.0,959.0,3.5282,67500.0,INLAND,5.26056338028169,3.3767605633802815,0.1934404283801874
15.0,665.0,4.5,260900.0,INLAND,6.072115384615385,3.1971153846153846,0.16706254948535235
36.0,2664.0,0.9298,100000.0,<1H OCEAN,3.6761619190404797,3.9940029985007497,0.299347471451876
8.0,1045.0,8.5957,444100.0,<1H OCEAN,8.105882352941176,3.073529411764706,0.12445573294629898
36.0,1492.0,3.25,179200.0,<1H OCEAN,3.9972677595628414,4.076502732240437,0.2522214627477785
24.0,676.0,6.0715,173400.0,INLAND,6.782051282051282,2.888888888888889,0.13988657844990549
44.0,1354.0,2.619,134700.0,NEAR BAY,3.30142566191446,2.7576374745417516,0.27884022208513265
4.0,926.0,3.6437,210100.0,<1H OCEAN,5.8081841432225065,2.368286445012788,0.25451343020695727
7.0,1187.0,1.2667,67500.0,NEAR OCEAN,3.326241134751773,4.209219858156028,0.31663113006396587
33.0,857.0,3.5586,160400.0,<1H OCEAN,5.580882352941177,3.150735294117647,0.17654808959156784
16.0,1104.0,3.0469,72200.0,INLAND,5.764227642276423,2.991869918699187,0.19370004701457452
24.0,3566.0,4.4818,166200.0,<1H OCEAN,6.041184041184041,4.589446589446589,0.17469109501491265
19.0,1572.0,2.234,58600.0,INLAND,5.988352745424293,2.615640599001664,0.19310919699916643
40.0,2170.0,2.7212,107900.0,<1H OCEAN,4.691312384473198,4.011090573012939,0.2222222222222222
36.0,1511.0,9.0064,500001.0,NEAR BAY,8.321678321678322,2.6416083916083917,0.12815126050420167
29.0,1632.0,3.707,180400.0,<1H OCEAN,5.08411214953271,3.8130841121495327,0.21507352941176472
36.0,1348.0,3.622,174000.0,<1H OCEAN,4.968152866242038,4.292993630573249,0.20512820512820512
44.0,943.0,4.725,232100.0,NEAR BAY,5.969945355191257,2.5765027322404372,0.16338672768878718
13.0,752.0,4.2031,209600.0,INLAND,6.811111111111111,2.785185185185185,0.14953779227841218
13.0,2553.0,4.2432,326500.0,INLAND,6.350568769389866,2.640124095139607,0.16593388698908973
14.0,1825.0,3.5541,191800.0,<1H OCEAN,6.0,2.7198211624441133,0.19100844510680576
17.0,1693.0,2.8102,128900.0,INLAND,5.560581583198708,2.7350565428109856,0.20482277745496805
29.0,2046.0,8.7496,349500.0,<1H OCEAN,7.935766423357665,2.986861313868613,0.1300588668138337
36.0,1008.0,2.0639,73000.0,INLAND,4.62041884816754,2.6387434554973823,0.2481586402266289
8.0,1555.0,6.0901,298200.0,NEAR BAY,7.5360623781676415,3.0311890838206628,0.13942058975685462
21.0,1489.0,4.6197,387500.0,<1H OCEAN,3.7019328585961344,1.5147507629704984,0.27535037098103876
12.0,2400.0,4.7147,158700.0,INLAND,5.251482799525504,2.8469750889679717,0.1743091634666064
35.0,788.0,6.6277,344400.0,<1H OCEAN,6.102564102564102,2.8864468864468864,0.16806722689075632
22.0,2204.0,5.8527,241000.0,<1H OCEAN,6.309486780715397,3.4276827371695178,0.15380823268424945
21.0,64.0,0.8571,25000.0,INLAND,1.6296296296296295,2.3703703703703702,0.75
44.0,791.0,3.15,101500.0,INLAND,5.446376811594203,2.2927536231884056,0.19105907397551888
31.0,1647.0,3.3681,223900.0,<1H OCEAN,4.826807228915663,2.480421686746988,0.22683307332293293
36.0,625.0,4.2596,181100.0,<1H OCEAN,5.368715083798882,3.4916201117318435,0.18002081165452655
33.0,880.0,2.5074,117700.0,INLAND,5.665441176470588,3.235294117647059,0.20311486048020766
13.0,1737.0,2.1418,130600.0,INLAND,4.620558375634518,2.204314720812183,0.2463608898654216
24.0,1834.0,6.0487,254500.0,<1H OCEAN,7.207079646017699,3.2460176991150442,0.14292730844793713
36.0,855.0,4.6473,227100.0,<1H OCEAN,5.482758620689655,2.6802507836990594,0.1841052029731275
36.0,446.0,2.3438,122700.0,INLAND,5.023952095808383,2.6706586826347305,0.18831942789034564
33.0,330.0,4.1029,122700.0,NEAR OCEAN,4.9125,4.125,0.19338422391857507
18.0,1907.0,4.8226,139900.0,INLAND,6.589703588143526,2.9750390015600625,0.14962121212121213
25.0,1200.0,4.7083,196100.0,<1H OCEAN,5.414578587699316,2.733485193621868,0.20656289440471182
15.0,841.0,6.0634,234300.0,<1H OCEAN,5.935275080906149,2.72168284789644,0.17993456924754633
7.0,2857.0,3.9318,133000.0,INLAND,5.338478500551268,3.1499448732083795,0.19310202395704254
11.0,3422.0,2.3343,97800.0,INLAND,4.361046959199384,2.634334103156274,0.26601941747572816
10.0,462.0,2.1528,162500.0,INLAND,3.4516129032258065,2.4838709677419355,0.27414330218068533
44.0,908.0,4.1406,274100.0,<1H OCEAN,5.289817232375979,2.370757180156658,0.19545903257650543
17.0,3424.0,3.7647,127600.0,<1H OCEAN,5.349248452696728,3.0274093722369586,0.18892561983471073
13.0,1985.0,4.2273,295200.0,INLAND,7.205438066465256,2.998489425981873,0.15052410901467506
24.0,1284.0,3.3182,213000.0,INLAND,5.88911704312115,2.6365503080082138,0.18375174337517433
35.0,826.0,3.2411,159200.0,<1H OCEAN,5.908163265306122,2.8095238095238093,0.16407599309153714
36.0,1620.0,2.3599,168400.0,NEAR OCEAN,4.771971496437055,1.9239904988123515,0.2655550024888004
26.0,322.0,5.1831,350000.0,NEAR OCEAN,2.018348623853211,1.4770642201834863,0.4590909090909091
19.0,2033.0,2.6961,212500.0,<1H OCEAN,4.2046070460704605,2.754742547425474,0.2958427328391879
46.0,753.0,4.7241,279600.0,INLAND,5.375757575757576,2.2818181818181817,0.17756482525366404
21.0,904.0,4.8906,179100.0,<1H OCEAN,5.356902356902357,3.0437710437710437,0.18730358265241986
29.0,1880.0,2.1864,143200.0,<1H OCEAN,4.031626506024097,2.8313253012048194,0.2581247665296974
19.0,681.0,6.0332,244900.0,<1H OCEAN,7.062962962962963,2.522222222222222,0.16937598321971684
20.0,246.0,5.4482,190800.0,NEAR BAY,4.5772357723577235,2.0,0.19005328596802842
